"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","ConnectionReceivedId","ConnectionSentId","LLC_BI__Attorney__c","LLC_BI__ExpansionLh__c","LLC_BI__ExpansionRe__c","LLC_BI__RefinanceLh__c","LLC_BI__RefinanceRe__c","LLC_BI__Start_upLh__c","LLC_BI__Start_upRe__c","LLC_BI__acquisitionLh__c","LLC_BI__acquisitionRe__c","LLC_BI__clientView__c","LLC_BI__comments__c","LLC_BI__docClass__c","LLC_BI__docManager__c","LLC_BI__docTab__c","LLC_BI__docType__c","LLC_BI__dueDaysPrior__c","LLC_BI__firstReview__c","LLC_BI__lookupKey__c","LLC_BI__naOk__c","LLC_BI__onesToWatch__c","LLC_BI__owner__c","LLC_BI__sortOrder__c","LLC_BI__Portal_Doc_Description__c","LLC_BI__Portal_Doc_Name__c","LLC_BI__Portal_Enabled__c","NDOC__description__c","NDOC__neededByStage__c","NDOC__priority__c","LLC_BI__Approval_Roles__c","LLC_BI__Viewer_Roles__c","LLC_BI__Criteria__c","NDOC__Placeholder_Approval_Roles__c","NDOC__Placeholder_Viewer_Roles__c","LLC_BI__Auto_Esign__c","LLC_BI__Placeholder_Viewer_Groups__c","LLC_BI__Placeholder_Viewer_Profiles__c","LLC_BI__Requirement__c","LLC_BI__Document_Id_Mapping__c","LLC_BI__E_Vault__c","LLC_BI__Type__c"
"a0HDm000001Yu5pMAC","005Dm000000nnayIAA","","Personal Financial Statement","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000001PCR9IAO","","","","false","","","","","","","","","false","","a0RDm000000oeCiMAI","a0VDm000000XqdiMAC","","a0XDm000000sHw8MAE","","false","a0HDm000001Yu5pMAC","false","false","","","","","false","","","","","","{{IF=""1""}}{{COND=""1"" FIELD=""Account.Type"" IS=""Individual""}}__GUID__{{ENDIF}}","","","false","","","","","false","Standard"
"a0HDm000001Yu5qMAC","005Dm000000nnayIAA","","Drivers Licence","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000001PCR9IAO","","","","false","","","","","","","","","false","","a0RDm000000oeCjMAI","a0VDm000000XqdiMAC","","a0XDm000000sHwBMAU","","false","a0HDm000001Yu5qMAC","false","false","","","","","false","","","","","","{{IF=""1""}}{{COND=""1"" FIELD=""Account.Type"" IS=""Individual""}}__GUID__{{ENDIF}}","","","false","","","","","false","Standard"
"a0HDm000001Yu5rMAC","005Dm000000nnayIAA","","Treasury Services Agreement","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000001PCR9IAO","","","","false","","","","","","","","","false","","a0RDm000000oeCkMAI","a0VDm000000XqdjMAC","","a0XDm000000sHwCMAU","","false","a0HDm000001Yu5rMAC","false","false","","","","","false","","","","","","","","","false","","","","","false","Standard"
"a0HDm000001Yu5sMAC","005Dm000000nnayIAA","","Loan Application","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000001PCR9IAO","","","","false","","","","","","","","","false","","a0RDm000000oeClMAI","a0VDm000000XqdkMAC","","a0XDm000000sHwDMAU","","false","a0HDm000001Yu5sMAC","false","false","","","","","false","","","","","","","","","false","","","","","false","Standard"
"a0HDm000001Yu5tMAC","005Dm000000nnayIAA","","Employee Loan Disclosure","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000001PCR9IAO","","","","false","","","","","","","","","false","","a0RDm000000oeCpMAI","a0VDm000000XqdkMAC","","a0XDm000000sHwFMAU","","false","a0HDm000001Yu5tMAC","false","false","","","","","false","","","","","","{{IF=""1""}}{{COND=""1"" FIELD=""LLC_BI__Loan__c.LLC_BI__Employee_Loan__c"" IS=""True""}}__GUID__{{ENDIF}}","","","false","","","","","false","Standard"
"a0HDm000001Yu5uMAC","005Dm000000nnayIAA","","Reg O Loan Disclosure","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000001PCR9IAO","","","","false","","","","","","","","","false","","a0RDm000000oeCqMAI","a0VDm000000XqdkMAC","","a0XDm000000sHwFMAU","","false","a0HDm000001Yu5uMAC","false","false","","","","","false","","","","","","{{IF=""1""}}{{COND=""1"" FIELD=""LLC_BI__Loan__c.LLC_BI__Reg_O_Loan__c"" IS=""True""}}__GUID__{{ENDIF}}","","","false","","","","","false","Standard"
"a0HDm000001Yu5vMAC","005Dm000000nnayIAA","","Power of Attorney","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000001PCR9IAO","","","","false","","","","","","","","","false","","a0RDm000000oeCsMAI","a0VDm000000XqdlMAC","","a0XDm000000sHwHMAU","","false","a0HDm000001Yu5vMAC","false","false","","","","","false","","","","","","","","","false","","","","","false","Standard"
"a0HDm000001Yu5wMAC","005Dm000000nnayIAA","","Collateral Valuation","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000001PCR9IAO","","","","false","","","","","","","","","false","","a0RDm000000oeCtMAI","a0VDm000000XqdlMAC","","a0XDm000000sHwHMAU","","false","a0HDm000001Yu5wMAC","false","false","","","","","false","","","","","","","","","false","","","","","false","Standard"
"a0HDm000001Yu5xMAC","005Dm000000nnayIAA","","Survey","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000001PCR9IAO","","","","false","","","","","","","","","false","","a0RDm000000oeCuMAI","a0VDm000000XqdlMAC","","a0XDm000000sHwIMAU","","false","a0HDm000001Yu5xMAC","false","false","","","","","false","","","","","","{{IF=""1""}}{{COND=""1"" FIELD=""LLC_BI__Collateral__c.LLC_BI__Collateral_Type__r.Name"" IS=""Real Estate""}}__GUID__{{ENDIF}}","","","false","","","","","false","Standard"
"a0HDm000001Yu5yMAC","005Dm000000nnayIAA","","UCC Valuation","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000001PCR9IAO","","","","false","","","","","","","","","false","","a0RDm000000oeCvMAI","a0VDm000000XqdlMAC","","a0XDm000000sHwJMAU","","false","a0HDm000001Yu5yMAC","false","false","","","","","false","","","","","","{{IF=""1""}}{{COND=""1"" FIELD=""LLC_BI__Collateral__c.LLC_BI__Collateral_Type__r.LLC_BI__Type__c"" IS=""UCC""}}__GUID__{{ENDIF}}","","","false","","","","","false","Standard"
"a0HDm000001Yu5zMAC","005Dm000000nnayIAA","","VIN","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000001PCR9IAO","","","","false","","","","","","","","","false","","a0RDm000000oeCwMAI","a0VDm000000XqdlMAC","","a0XDm000000sHwKMAU","","false","a0HDm000001Yu5zMAC","false","false","","","","","false","","","","","","{{IF=""1""}}{{COND=""1"" FIELD=""LLC_BI__Collateral__c.LLC_BI__Collateral_Type__r.Name"" IS=""Titled""}}__GUID__{{ENDIF}}","","","false","","","","","false","Standard"
"a0HDm000001Yu60MAC","005Dm000000nnayIAA","","Title","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000001PCR9IAO","","","","false","","","","","","","","","false","","a0RDm000000oeCxMAI","a0VDm000000XqdlMAC","","a0XDm000000sHwKMAU","","false","a0HDm000001Yu60MAC","false","false","","","","","false","","","","","","{{IF=""1""}}{{COND=""1"" FIELD=""LLC_BI__Collateral__c.LLC_BI__Collateral_Type__r.Name"" IS=""Titled""}}__GUID__{{ENDIF}}","","","false","","","","","false","Standard"
"a0HDm000001Yu61MAC","005Dm000000nnayIAA","","Commercial Security Agreement","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000001PCR9IAO","","","","false","","","","","","","","","false","","a0RDm000000oeCyMAI","a0VDm000000XqdkMAC","","a0XDm000000sHwLMAU","","false","a0HDm000001Yu61MAC","false","false","","","","","false","","","","","","{{IF=""1 AND 2""}}{{COND=""1"" FIELD=""LLC_BI__Loan__c.LLC_BI__Product_Line__c"" IS=""Commercial""}}{{COND=""2"" FIELD=""LLC_BI__Loan__c.LLC_BI__Product_Type__c"" IS=""Real Estate""}}__GUID__{{ENDIF}}","","","false","","","","","false","Standard"
"a0HDm000001Yu62MAC","005Dm000000nnayIAA","","Commercial Pledge Agreement","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000001PCR9IAO","","","","false","","","","","","","","","false","","a0RDm000000oeCzMAI","a0VDm000000XqdkMAC","","a0XDm000000sHwLMAU","","false","a0HDm000001Yu62MAC","false","false","","","","","false","","","","","","{{IF=""1 AND 2""}}{{COND=""1"" FIELD=""LLC_BI__Loan__c.LLC_BI__Product_Line__c"" IS=""Commercial""}}{{COND=""2"" FIELD=""LLC_BI__Loan__c.LLC_BI__Product_Type__c"" IS=""Real Estate""}}__GUID__{{ENDIF}}","","","false","","","","","false","Standard"
"a0HDm000001Yu63MAC","005Dm000000nnayIAA","","Commercial Guaranty","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000001PCR9IAO","","","","false","","","","","","","","","false","","a0RDm000000oeD0MAI","a0VDm000000XqdkMAC","","a0XDm000000sHwLMAU","","false","a0HDm000001Yu63MAC","false","false","","","","","false","","","","","","{{IF=""1 AND 2""}}{{COND=""1"" FIELD=""LLC_BI__Loan__c.LLC_BI__Product_Line__c"" IS=""Commercial""}}{{COND=""2"" FIELD=""LLC_BI__Loan__c.LLC_BI__Product_Type__c"" IS=""Real Estate""}}__GUID__{{ENDIF}}","","","false","","","","","false","Standard"
"a0HDm000001Yu64MAC","005Dm000000nnayIAA","","Borrower Financial Statement","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000001PCR9IAO","","","","false","","","","","","","","","false","","a0RDm000000oeD1MAI","a0VDm000000XqdkMAC","","a0XDm000000sHwDMAU","","false","a0HDm000001Yu64MAC","false","false","","","","","false","","","","","","","","","false","","","","","false","Standard"
"a0HDm000001Yu65MAC","005Dm000000nnayIAA","","Borrower Tax Return","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000001PCR9IAO","","","","false","","","","","","","","","false","","a0RDm000000oeD2MAI","a0VDm000000XqdkMAC","","a0XDm000000sHwDMAU","","false","a0HDm000001Yu65MAC","false","false","","","","","false","","","","","","","","","false","","","","","false","Standard"
