"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","ConnectionReceivedId","ConnectionSentId","LLC_BI__columns__c","LLC_BI__defaultOwner__c","LLC_BI__docManager__c","LLC_BI__lookupId__c","LLC_BI__lookupKey__c","LLC_BI__sortOrder__c","LLC_BI__status__c"
"a0WDm000000ovxtMAA","005Dm000000nnayIAA","","Relationship","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","statusIcon;name;docType;status;owner;priority;date;exceptionDate;comment","","a0VDm000000XqdiMAC","","TA-Relatio0219197","1",""
"a0WDm000000ovxuMAA","005Dm000000nnayIAA","","Loan","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","statusIcon;name;docType;firstReview;status;owner;priority;date;exceptionDate;comment","","a0VDm000000XqdhMAC","","TA-Loan0683876925","1",""
"a0WDm000000ovxvMAA","005Dm000000nnayIAA","","Relationship","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","statusIcon;name;docType;firstReview;status;owner;priority;date;exceptionDate;comment","","a0VDm000000XqdhMAC","","TA-Relatio0770172","2",""
"a0WDm000000ovxwMAA","005Dm000000nnayIAA","","Construction","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a0VDm000000XqdkMAC","","298037408792345075234","",""
