"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastViewedDate","LastReferencedDate","ConnectionReceivedId","ConnectionSentId","nFORCE__App__c","nFORCE__lookupKey__c","nFORCE__Default_Collapse_Parent_Navigation__c","nFORCE__Is_Archived__c","nFORCE__Is_Questionnaire__c","nFORCE__Parent_Group__c","nFORCE__Screen__c","nFORCE__Taxonomy_Id__c","nFORCE__Category__c","nFORCE__Layout__c","nFORCE__Answer_Context__c","Description_Custom__c","nFORCE__Description__c"
"a2BDm000000DHVqMAO","005Dm000001PCRHIA4","","zzzSession (Not Used) - Unsecured Term Loan","2023-02-24T16:04:45.000Z","005Dm000001PCRHIA4","2023-02-24T16:04:45.000Z","005Dm000001PCR8IAO","","","","","","term","42522017816930892","false","false","false","","","term","","","","Packaged - Do not use as this is not maintained (Summer 19)",""
"a2BDm000000DHVrMAO","005Dm000001PCRHIA4","","Session (MASTER) - HELOC Loan","2023-02-24T16:04:45.000Z","005Dm000001PCRHIA4","2023-02-24T16:04:45.000Z","005Dm000001PCR8IAO","","","","","","heloc-loan-grp","NotHelocSpecific-UseforAllRetail","false","false","false","","","heloc-loan-grp","","","","Packaged - This is 1 of 4 packaged Groups used for Retail.  As a Gold Standard, this is the baseline to clone and begin configuration.  The other 3 Session Groups are not maintained at this time (Summer 19)",""
"a2BDm000000DHVsMAO","005Dm000001PCRHIA4","","Retail Loan","2023-02-24T16:04:45.000Z","005Dm000001PCRHIA4","2023-02-24T16:04:45.000Z","005Dm000001PCR8IAO","","","","","","retail-loan","46461560278745196","false","false","false","","","retail-loan","","","","",""
"a2BDm000000DHVtMAO","005Dm000001PCRHIA4","","Small Business Loan Workflow","2023-02-24T16:04:45.000Z","005Dm000001PCRHIA4","2023-02-24T16:04:45.000Z","005Dm000001PCR8IAO","","","","","","sbl-group","42806046586701337","false","false","false","","","sbl-group","","","","",""
"a2BDm000000DHVuMAO","005Dm000001PCRHIA4","","Unsecured Small Business Loan Workflow","2023-02-24T16:04:45.000Z","005Dm000001PCRHIA4","2023-02-24T16:04:45.000Z","005Dm000001PCR8IAO","","","","","","sbl-unsec-group","42903851954541033","false","false","false","","","sbl-unsec-group","","","","",""
"a2BDm000000DHVvMAO","005Dm000001PCRHIA4","","MASTER-Loan - Retail","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000001PCR8IAO","","","","","","m-retail","80561560278865441","false","false","false","","","m-retail","","","","",""
"a2BDm000000DHVwMAO","005Dm000000nnayIAA","","MASTER-Relationship","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","master-relationship","42261562008922327","false","false","false","","","master-relationship","","","","",""
"a2BDm000000DHVxMAO","005Dm000000nnayIAA","","New Relationship","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000001PCR8IAO","","","","","","new-relationship","new-relationship","false","false","false","","","new-relationship","","","","",""
"a2BDm000000DHVyMAO","005Dm000000nnayIAA","","ACH Origination","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000001PCR8IAO","","","","","","tmmg-Treasury00-00","42266445183227207","false","false","false","","a2GDm000000LG9kMAG","tmmg-Treasury00-00","","","","",""
"a2BDm000000DHVzMAO","005Dm000000nnayIAA","","MASTER-Treasury Services","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000001PCR8IAO","","","","","","master-treasury-services","95821567002558847","false","false","false","","","master-treasury-services","","","","",""
"a2BDm000000DHW0MAO","005Dm000000nnayIAA","","Test","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000001PCR8IAO","","","","","","tmmg-Test00-00","42511983079847080","false","false","false","","a2GDm000000LG9lMAG","tmmg-Test00-00","","","","",""
"a2BDm000000DHW1MAO","005Dm000000nnayIAA","","Test 2","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000001PCR8IAO","","","","","","tmmg-Test200-00","42929089401890532","false","false","false","","a2GDm000000LG9mMAG","tmmg-Test200-00","","","","",""
"a2BDm000000DHW4MAO","005Dm000000nnayIAA","","Relationship Loans Treegrid","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","relationship-loans-treegrid","rcaui-42318683902","false","false","false","","","relationship-loans-treegrid","","","","",""
"a2BDm000000DHW5MAO","005Dm000000nnayIAA","","Loan","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000001PCR8IAO","","","","","","loan","42873438710069149","false","false","false","","","loan","","","","",""
"a2BDm000000DHW6MAO","005Dm000000nnayIAA","","Deposit Product Maintenance","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000001PCR8IAO","","","","","","dep-pm","42226489752753856","false","false","false","","","dep-pm","","","","",""
"a2BDm000000DHW7MAO","005Dm000000nnayIAA","","Deposit Product Details Maintenance","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000001PCR8IAO","","","","","","dep-pm-details","42075960643920713","false","false","false","","","dep-pm-details","","","","",""
"a2BDm000000DHW8MAO","005Dm000000nnayIAA","","Deposit Beneficiary Maintenance","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000001PCR8IAO","","","","","","dep-pm-beneficiary","42557821139915648","false","false","false","","","dep-pm-beneficiary","","","","",""
"a2BDm000000DHW9MAO","005Dm000000nnayIAA","","Deposit Ownership and Roles Maintenance","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000001PCR8IAO","","","","","","dep-pm-structure-and-roles","42792102819560802","false","false","false","","","dep-pm-structure-and-roles","","","","",""
"a2BDm000000DHWAMA4","005Dm000000nnayIAA","","Deposit Ancillary Services Maintenance","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000001PCR8IAO","","","","","","dep-pm-ancillary-services","42154253801321945","false","false","false","","","dep-pm-ancillary-services","","","","",""
