"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","ConnectionReceivedId","ConnectionSentId","nFORCE__Order__c","nFORCE__Screen_Section__c","nFORCE__Screen__c","nFORCE__Type__c","nFORCE__lookupKey__c"
"a3vDm000000kCEfIAM","005Dm000000nnayIAA","","a3vDm000000kCEf","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","0.0","a2FDm000000HEFBMA4","a2GDm000000LGAzMAO","","a3vDm000000kCEfIAM"
"a3vDm000000kCEgIAM","005Dm000000nnayIAA","","a3vDm000000kCEg","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","1.0","a2FDm000000HEFAMA4","a2GDm000000LGAzMAO","","a3vDm000000kCEgIAM"
