"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastViewedDate","LastReferencedDate","ConnectionReceivedId","ConnectionSentId","LLC_BI__Active__c","LLC_BI__Current_Value__c","LLC_BI__Description__c","LLC_BI__Effective_Date__c","LLC_BI__External_Source__c","LLC_BI__Index__c","LLC_BI__Modification_Schedule__c","LLC_BI__lookupKey__c"
"a3NDm000000keV4MAI","005Dm000000nnayIAA","","1 Month LIBOR Rate","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","true","0.749","Daily, Not Seasonally Adjusted, Based onU.S Dollar USD2MTD156N","2026-04-25T16:54:00.000Z","fred.stlouisfed.org/series/USD1MTD156N","LIBOR_mo_1","365","a3NDm000000keV4MAI"
"a3NDm000000keV5MAI","005Dm000000nnayIAA","","WSJ Prime Rate","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","true","3.75","Daily, Not Seasonally Adjusted, DPRIME","2026-04-25T16:53:00.000Z","fred.stlouisfed.org/series/DPRIME","Prime_FRED","365","a3Ni0000000pYLBEA213245"
