"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","ConnectionReceivedId","ConnectionSentId","cm_Industry_Code_Description__c","cm_Industry_Code__c"
"a1bDm000000YmfHIAS","005Dm000000nnayIAA","","551111 - Offices of Bank Holding Companies","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Offices of Bank Holding Companies","551111"
"a1bDm000000YmfIIAS","005Dm000000nnayIAA","","551112 - Offices of Other Holding Companies","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Offices of Other Holding Companies","551112"
"a1bDm000000YmfJIAS","005Dm000000nnayIAA","","551114 - Corporate, Subsidiary, and Regional Managing Offices","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Corporate, Subsidiary, and Regional Managing Offices","551114"
"a1bDm000000YmfKIAS","005Dm000000nnayIAA","","561110 - Office Administrative Services","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Office Administrative Services","561110"
"a1bDm000000YmfLIAS","005Dm000000nnayIAA","","458210 - Shoe Retailers","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Shoe Retailers","458210"
"a1bDm000000YmfMIAS","005Dm000000nnayIAA","","458310 - Jewelry Retailers","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Jewelry Retailers","458310"
"a1bDm000000YmfNIAS","005Dm000000nnayIAA","","458320 - Luggage and Leather Goods Retailers","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Luggage and Leather Goods Retailers","458320"
"a1bDm000000YmfOIAS","005Dm000000nnayIAA","","459110 - Sporting Goods Retailers","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Sporting Goods Retailers","459110"
"a1bDm000000YmfPIAS","005Dm000000nnayIAA","","459120 - Hobby, Toy, and Game Retailers","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Hobby, Toy, and Game Retailers","459120"
"a1bDm000000YmfQIAS","005Dm000000nnayIAA","","459130 - Sewing, Needlework, and Piece Goods Retailers","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Sewing, Needlework, and Piece Goods Retailers","459130"
"a1bDm000000YmfRIAS","005Dm000000nnayIAA","","459140 - Musical Instrument and Supplies Retailers","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Musical Instrument and Supplies Retailers","459140"
"a1bDm000000YmfSIAS","005Dm000000nnayIAA","","459420 - Gift, Novelty, and Souvenir Retailers","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Gift, Novelty, and Souvenir Retailers","459420"
"a1bDm000000YmfTIAS","005Dm000000nnayIAA","","459210 - Book Retailers and News Dealers","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Book Retailers and News Dealers","459210"
"a1bDm000000YmfUIAS","005Dm000000nnayIAA","","459310 - Florists","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Florists","459310"
"a1bDm000000YmfVIAS","005Dm000000nnayIAA","","459410 - Office Supplies and Stationery Retailers","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Office Supplies and Stationery Retailers","459410"
"a1bDm000000YmfWIAS","005Dm000000nnayIAA","","459510 - Used Merchandise Retailers","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Used Merchandise Retailers","459510"
"a1bDm000000YmfXIAS","005Dm000000nnayIAA","","459910 - Pet and Pet Supplies Retailers","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Pet and Pet Supplies Retailers","459910"
"a1bDm000000YmfYIAS","005Dm000000nnayIAA","","459920 - Art Dealers","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Art Dealers","459920"
"a1bDm000000YmfZIAS","005Dm000000nnayIAA","","459930 - Manufactured (Mobile) Home Dealers","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Manufactured (Mobile) Home Dealers","459930"
"a1bDm000000YmfaIAC","005Dm000000nnayIAA","","458110 - Clothing and Clothing Accessories Retailers","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Clothing and Clothing Accessories Retailers","458110"
"a1bDm000000YmfbIAC","005Dm000000nnayIAA","","321114 - Wood Preservation","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Wood Preservation","321114"
"a1bDm000000YmfcIAC","005Dm000000nnayIAA","","321211 - Hardwood Veneer and Plywood Manufacturing","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Hardwood Veneer and Plywood Manufacturing","321211"
"a1bDm000000YmfdIAC","005Dm000000nnayIAA","","321212 - Softwood Veneer and Plywood Manufacturing","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Softwood Veneer and Plywood Manufacturing","321212"
"a1bDm000000YmfeIAC","005Dm000000nnayIAA","","321215 - Engineered Wood Member Manufacturing","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Engineered Wood Member Manufacturing","321215"
"a1bDm000000YmffIAC","005Dm000000nnayIAA","","321219 - Reconstituted Wood Product Manufacturing","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Reconstituted Wood Product Manufacturing","321219"
"a1bDm000000YmfgIAC","005Dm000000nnayIAA","","321911 - Wood Window and Door Manufacturing","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Wood Window and Door Manufacturing","321911"
"a1bDm000000YmfhIAC","005Dm000000nnayIAA","","321912 - Cut Stock, Resawing Lumber, and Planing","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Cut Stock, Resawing Lumber, and Planing","321912"
"a1bDm000000YmfiIAC","005Dm000000nnayIAA","","321918 - Other Millwork (including Flooring)","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Other Millwork (including Flooring)","321918"
"a1bDm000000YmkqIAC","005Dm000000nnayIAA","","424470 - Meat and Meat Product Merchant Wholesalers","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Meat and Meat Product Merchant Wholesalers","424470"
"a1bDm000000YmkrIAC","005Dm000000nnayIAA","","424480 - Fresh Fruit and Vegetable Merchant Wholesalers","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Fresh Fruit and Vegetable Merchant Wholesalers","424480"
"a1bDm000000YmksIAC","005Dm000000nnayIAA","","424490 - Other Grocery and Related Products Merchant Wholesalers","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Other Grocery and Related Products Merchant Wholesalers","424490"
"a1bDm000000YmktIAC","005Dm000000nnayIAA","","424610 - Plastics Materials and Basic Forms and Shapes Merchant Wholesalers","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Plastics Materials and Basic Forms and Shapes Merchant Wholesalers","424610"
"a1bDm000000YmkuIAC","005Dm000000nnayIAA","","424510 - Grain and Field Bean Merchant Wholesalers","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Grain and Field Bean Merchant Wholesalers","424510"
"a1bDm000000YmkvIAC","005Dm000000nnayIAA","","424520 - Livestock Merchant Wholesalers","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Livestock Merchant Wholesalers","424520"
"a1bDm000000YmkwIAC","005Dm000000nnayIAA","","424590 - Other Farm Product Raw Material Merchant Wholesalers","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Other Farm Product Raw Material Merchant Wholesalers","424590"
"a1bDm000000YmkxIAC","005Dm000000nnayIAA","","424690 - Other Chemical and Allied Products Merchant Wholesalers","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Other Chemical and Allied Products Merchant Wholesalers","424690"
"a1bDm000000YmkyIAC","005Dm000000nnayIAA","","424340 - Footwear Merchant Wholesalers","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Footwear Merchant Wholesalers","424340"
"a1bDm000000YmkzIAC","005Dm000000nnayIAA","","424710 - Petroleum Bulk Stations and Terminals","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Petroleum Bulk Stations and Terminals","424710"
