"Id","IsDeleted","Name","SetupOwnerId","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","nFORCE__Billable__c","nFORCE__Class_Name__c","nFORCE__Destination__c","nFORCE__IsActive__c","nFORCE__Is_Org_to_Org__c"
"a1RDm000000PM11MAG","","Analytics Communicator","","2023-02-24T16:04:45.000Z","005Dm000001PCRlIAO","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","true","nFORCE.LifeCycleOAuth2Communicator","https://ncino.my.salesforce.com/services/apexrest/nBIA/api/v1.0/bi","true","false"
"a1RDm000000PM12MAG","","Rule_Engine_Communicator","","2023-02-24T16:04:45.000Z","005Dm000001PCR8IAO","2023-02-24T16:04:45.000Z","005Dm000001PCR8IAO","","false","nFORCE.LifeCycleOAuth2Communicator","https://site-dream-952.my.salesforce.com","false","false"
"a1RDm000000PM13MAG","","REST Analytics Communicator","","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","true","nFORCE.LifeCycleOAuth2Communicator","","true","false"
"a1RDm000000PM14MAG","","AWS_Data_Platform_Communicator","","2023-02-24T16:04:45.000Z","005Dm000001PCR8IAO","2023-02-24T16:04:45.000Z","005Dm000001PCR8IAO","","false","nFORCE.LifeCycleOAuth2SecretCommunicator","https://psomastercommercialcore.my.salesforce.com","true","false"
