"Id","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","ConnectionReceivedId","ConnectionSentId","LLC_BI__Classification__c","LLC_BI__Spread_Statement_Record__c","LLC_BI__lookupKey__c"
"a3fDm000000079OIAQ","","a3jDm000000pIyO","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000Gu7SMAS","a18Dm000000H4ckIAC","5b56fd1a-e857-4f88-8dd6-47cc9c558626"
"a3fDm000000079PIAQ","","a5xDm000000Coto","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000GuBOMA0","a18Dm000000H4clIAC","42388428308133699"
"a3fDm000000079QIAQ","","a3jDm000000pIyP","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000Gu7SMAS","a18Dm000000H4clIAC","8a196d5d-3e85-4262-8cf1-7d16001bfe4a"
"a3fDm000000079RIAQ","","a5xDm000000Cotp","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000GuBPMA0","a18Dm000000H4cmIAC","42294014224722622"
"a3fDm000000079SIAQ","","a3jDm000000pIyQ","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000Gu7SMAS","a18Dm000000H4cmIAC","e5d7f84a-3bec-4b33-ad7b-245cd03c567f"
"a3fDm000000079TIAQ","","a5xDm000000Cotq","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000GuAgMAK","a18Dm000000H4cnIAC","42540326238816367"
"a3fDm000000079UIAQ","","a3jDm000000pIyR","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000Gu7SMAS","a18Dm000000H4cnIAC","fba2fd79-8ee0-4ce9-837c-cda95b2707ce"
"a3fDm000000079VIAQ","","a5xDm000000Cotr","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000GuBQMA0","a18Dm000000H4coIAC","42980290065972284"
"a3fDm000000079WIAQ","","a3jDm000000pIyS","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000Gu7SMAS","a18Dm000000H4coIAC","7f487612-1848-4054-a8ba-5226ac93b436"
"a3fDm000000079XIAQ","","a5xDm000000Cots","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000GuBQMA0","a18Dm000000H4cpIAC","42318889454564205"
