"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","ConnectionReceivedId","ConnectionSentId","LLC_BI__Category__c","LLC_BI__lookupKey__c"
"a3YDm000000Gu8QMAS","005Dm000000nnayIAA","","Sales/Revenues","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Accounting Grid (Income Statement)","SalesRevenues_ACCTGRD"
"a3YDm000000Gu8RMAS","005Dm000000nnayIAA","","Sales (net)","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","RMA Benchmarking","sales_net"
"a3YDm000000Gu8SMAS","005Dm000000nnayIAA","","Returns & Allowances","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Accounting Grid (Income Statement)","Returns_Allowances_ACCTGRD"
"a3YDm000000Gu8TMAS","005Dm000000nnayIAA","","Cost of Sales","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","RMA Benchmarking","cost_of_sales"
"a3YDm000000Gu8UMAS","005Dm000000nnayIAA","","Cost of Sales/Revenues","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Accounting Grid (Income Statement)","Cost_of_SalesRevenues_ACCTGRD"
"a3YDm000000Gu8VMAS","005Dm000000nnayIAA","","General & Admin Expense","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Accounting Grid (Income Statement)","General_Admin_Expense_ACCTGRD"
"a3YDm000000Gu8WMAS","005Dm000000nnayIAA","","Sch. C - COGS Depreciation","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Accounting Grid (Individual)","Sch_C_COGS_Depreciation_ACCTGRD"
"a3YDm000000Gu8XMAS","005Dm000000nnayIAA","","Sch. C - Expenses","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Accounting Grid (Individual)","Sch_C_Expenses_ACCTGRD"
"a3YDm000000Gu8YMAS","005Dm000000nnayIAA","","Sch. C - Depreciation Expense","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Accounting Grid (Individual)","Sch_C_Depreciation_Expense_ACCTGRD"
"a3YDm000000Gu8ZMAS","005Dm000000nnayIAA","","Sch. C - Interest Expense","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Accounting Grid (Individual)","Sch_C_Interest_Expense_ACCTGRD"
