"Id","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastViewedDate","LastReferencedDate","ConnectionReceivedId","ConnectionSentId","LLC_BI__Spread_Statement_Type__c","LLC_BI__Debit__c","LLC_BI__Hide_All_Records__c","LLC_BI__Hide_Currency_Symbol__c","LLC_BI__Include_In_Total__c","LLC_BI__Is_Grand_Total__c","LLC_BI__Row_Number__c","LLC_BI__Title__c","LLC_BI__lookupKey__c","LLC_BI__Group_Type__c","LLC_BI__Is_Summary_Group__c","LLC_BI__Global_Analysis_Type__c","LLC_BI__Hide_Column_Totals__c","LLC_BI__KPI_Type__c","LLC_BI__Publish_On_Init_Event__c","LLC_BI__Publish_On_Update_Event__c","LLC_BI__Total_Type__c","LLC_BI__Show_Math__c","LLC_BI__Source_Group__c","LLC_BI__Is_Balance_Check__c","LLC_BI__Color__c"
"a16Dm000000MOgEIAW","","Income/(Loss) from REMICS","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a19Dm000001Iw1GIAS","false","false","false","true","","50.0","Income/(Loss) from Real Estate Mortgage Investment Conduits","42320300623470277","Financial","false","None","false","","","","Standard","false","","false",""
"a16Dm000000MOgFIAW","","Recurring Farm Income","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a19Dm000001Iw1JIAS","false","false","false","true","","10.0","Recurring Farm Income","42084769216597312","Financial","false","None","false","","","","Standard","false","","false",""
"a16Dm000000MOgGIAW","","Net Farm Income/(Loss)","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a19Dm000001Iw1JIAS","false","true","false","true","","30.0","Net Farm Income/(Loss)","42043783317622273","Financial","false","None","false","","","","Standard","false","","false",""
"a16Dm000000MOgHIAW","","Total Farm Expenses","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a19Dm000001Iw1JIAS","false","false","false","true","","20.0","Farm Expenses","42060554277573406","Financial","false","None","false","","","","Standard","false","","false",""
"a16Dm000000MOgIIAW","","Ratios","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a19Dm000001Iw1LIAS","false","false","false","true","","10.0","Ratios","42864953831190540","Financial","false","None","true","","","","Standard","false","","false",""
"a16Dm000000MOgJIAW","","Total Current Assets","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a19Dm000001Iw1MIAS","false","false","false","true","","10.0","Current Assets","42872836194085256","Financial","false","None","false","","","","Standard","false","","false",""
"a16Dm000000MOgKIAW","","Total Non-Current Assets","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a19Dm000001Iw1MIAS","false","false","false","true","","20.0","Non-Current Assets","42757853251346614","Financial","false","None","false","","","","Standard","false","","false",""
"a16Dm000000MOgLIAW","","Total Assets","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a19Dm000001Iw1MIAS","false","false","false","true","","30.0","Total Assets (Subt)","42643846217067372","Financial","false","Total Assets","false","","","","Standard","false","","false",""
"a16Dm000000MOgMIAW","","Total Current Liabilities","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a19Dm000001Iw1MIAS","false","false","false","true","","40.0","Current Liabilities","42868391614577990","Financial","false","None","false","","","","Standard","false","","false",""
"a16Dm000000MOgNIAW","","Total Non-Current Liabilities","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a19Dm000001Iw1MIAS","false","false","false","true","","50.0","Non-Current Liabilities","42916828103291067","Financial","false","None","false","","","","Standard","false","","false",""
"a16Dm000000MOgOIAW","","Total Liabilities","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a19Dm000001Iw1MIAS","false","true","false","true","","60.0","Total Liabilities (SubT)","42764458258914891","Financial","false","Total Liabilities","false","","","","Standard","false","","false",""
"a16Dm000000MOgPIAW","","Total Net Worth","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a19Dm000001Iw1MIAS","false","false","false","true","","70.0","Net Worth","42460005026654758","Financial","false","Total Equity","false","","","","Standard","false","","false",""
"a16Dm000000MOgQIAW","","Unexplained Difference","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a19Dm000001Iw1MIAS","false","false","false","true","","80.0","Balance Check","42013467159291865","Financial","false","None","false","","","","Standard","false","","true",""
"a16Dm000000MOgRIAW","","Partial Year Adjustment","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a19Dm000001Iw1KIAS","false","false","false","true","","10.0","Partial Year Adjustment","42005280418166961","Decimal","false","None","false","","","","Standard","false","","false",""
"a16Dm000000MOgSIAW","","Prior Period Values","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a19Dm000001Iw1KIAS","false","false","false","true","","20.0","Prior Period Values","42175115071991507","Financial","false","None","true","","","","Standard","false","","false",""
"a16Dm000000MOgTIAW","","Annualized Values","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a19Dm000001Iw1KIAS","false","false","false","true","","30.0","Annualized Values","42819231367879405","Financial","false","None","true","","","","Standard","false","","false",""
"a16Dm000000MOgUIAW","","Liquidity","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a19Dm000001Iw1KIAS","false","false","false","true","","40.0","Liquidity","42719959501270333","Financial","false","None","true","","","","Standard","false","","false",""
"a16Dm000000MOgVIAW","","Leverage","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a19Dm000001Iw1KIAS","false","false","false","true","","50.0","Leverage","42297465320463234","Financial","false","None","true","","","","Standard","false","","false",""
"a16Dm000000MOgWIAW","","Profitability","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a19Dm000001Iw1KIAS","false","false","false","true","","60.0","Profitability","42251349938815550","Financial","false","None","true","","","","Standard","false","","false",""
"a16Dm000000MOgXIAW","","Growth (%)","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a19Dm000001Iw1KIAS","false","false","false","true","","70.0","Growth (%)","42788440930262208","Percentage","false","None","true","","","","Standard","false","","false",""
"a16Dm000000MOgYIAW","","Coverage","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a19Dm000001Iw1KIAS","false","false","false","true","","80.0","Coverage","42060616215433002","Financial","false","None","true","","","","Standard","false","","false",""
"a16Dm000000MOgZIAW","","Activity","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a19Dm000001Iw1KIAS","false","false","false","true","","90.0","Activity","42791074299985662","Decimal","false","None","true","","","","Standard","false","","false",""
"a16Dm000000MOgaIAG","","Net Sales/Revenue","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a19Dm000001Iw1NIAS","false","false","false","true","","10.0","Sales","42340161746109423","Financial","false","None","false","","","","Standard","false","","false",""
"a16Dm000000MOgbIAG","","Total Cost of Sales/Revenue","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a19Dm000001Iw1NIAS","false","false","false","true","","20.0","Cost of Goods Sold","42840486336440583","Financial","false","None","false","","","","Standard","false","","false",""
"a16Dm000000MOgcIAG","","Gross Profit","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a19Dm000001Iw1NIAS","false","true","false","true","","30.0","Gross Profit","42288270618652886","Financial","false","None","false","","","","Standard","false","","false",""
"a16Dm000000MOgdIAG","","Total Operating Expenses","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a19Dm000001Iw1NIAS","false","false","false","true","","40.0","Operating Expenses","42313294009996784","Financial","false","None","false","","","","Standard","false","","false",""
"a16Dm000000MOgeIAG","","Net Operating Profit","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a19Dm000001Iw1NIAS","false","true","false","true","","50.0","Operating Profit","42977429872026606","Financial","false","None","false","","","","Standard","false","","false",""
"a16Dm000000MOgfIAG","","Total Other Income/(Expense)","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a19Dm000001Iw1NIAS","false","false","false","true","","60.0","Other Income/(Expense)","42387872737548555","Financial","false","None","false","","","","Standard","false","","false",""
"a16Dm000000MOggIAG","","Profit Before Taxes","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a19Dm000001Iw1NIAS","false","true","false","true","","70.0","Profit Before Taxes","42704936409641992","Financial","false","None","false","","","","Standard","false","","false",""
"a16Dm000000MOghIAG","","Total Provision for Taxes","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a19Dm000001Iw1NIAS","false","false","false","true","","80.0","Provision for Taxes","42302433377734560","Financial","false","None","false","","","","Standard","false","","false",""
"a16Dm000000MOgiIAG","","Profit Bef. Extraordinary Items","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a19Dm000001Iw1NIAS","false","true","false","true","","90.0","Profit Bef. Extraordinary Items","42957944072184843","Financial","false","None","false","","","","Standard","false","","false",""
"a16Dm000000MOgjIAG","","Total Extraordinary Income","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a19Dm000001Iw1NIAS","false","false","false","true","","100.0","Extraordinary Items","42903654386100845","Financial","false","None","false","","","","Standard","false","","false",""
"a16Dm000000MOgkIAG","","Net Profit/(Loss)","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a19Dm000001Iw1NIAS","false","true","false","true","","110.0","Net Profit/(Loss)","42957136426519609","Financial","false","None","false","","","","Standard","false","","false",""
"a16Dm000000MOglIAG","","Profitability","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a19Dm000001Iw1NIAS","false","false","false","true","","120.0","Profitability","42845575780407981","Financial","false","None","true","","","","Standard","false","","false",""
"a16Dm000000MOgmIAG","","CF Available to Service Debt","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a19Dm000001Iw1OIAS","false","false","false","true","","10.0","Adjusted EBITDA","42365762787417714","Financial","false","Cash Flow","false","","","","Standard","false","","false",""
"a16Dm000000MOgnIAG","","Total Historical DS","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a19Dm000001Iw1OIAS","false","false","false","true","","20.0","Historical Debt Service","42900022641841187","Financial","false","","false","","","","Standard","false","","false",""
"a16Dm000000MOgoIAG","","Total Pro Forma DS","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a19Dm000001Iw1OIAS","false","false","false","true","","30.0","Pro Forma Debt Service","42017108418753674","Financial","false","Debt Service","false","","","","Standard","false","","false",""
"a16Dm000000MOgpIAG","","Cash Flow Coverage","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a19Dm000001Iw1OIAS","false","false","false","true","","40.0","Cash Flow Coverage","42445066094100377","Financial","false","None","true","","","","Standard","false","","false",""
"a16Dm000000MOgqIAG","","Total Cash Collected from Sales","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a19Dm000001Iw1PIAS","false","false","false","true","","10.0","Cash Collected from Sales","42154883257577151","Financial","false","None","false","","","","Standard","false","","false",""
"a16Dm000000MOgrIAG","","Total Cash Paid to Suppliers","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a19Dm000001Iw1PIAS","false","false","false","true","","20.0","Cash Paid to Suppliers","42737336525582503","Financial","false","None","false","","","","Standard","false","","false",""
"a16Dm000000MOgsIAG","","Cash from Trading Activities","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a19Dm000001Iw1PIAS","false","false","false","true","","30.0","Cash from Trading Activities","42520551182698716","Financial","false","None","false","","","","Standard","false","","false",""
"a16Dm000000MOgtIAG","","Taxes Paid","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a19Dm000001Iw1PIAS","false","false","false","true","","70.0","Taxes","42504266629348545","Financial","false","None","false","","","","Standard","false","","false",""
"a16Dm000000MOguIAG","","Total Cash Paid for Operating Costs","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a19Dm000001Iw1PIAS","false","false","false","true","","40.0","Cash Paid for Operating Costs","42440176594909858","Financial","false","None","false","","","","Standard","false","","false",""
"a16Dm000000MOgvIAG","","Cash After Operations","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a19Dm000001Iw1PIAS","false","true","false","true","","50.0","Cash After Operations","42817819086327721","Financial","false","None","false","","","","Standard","false","","false",""
"a16Dm000000MOgwIAG","","Total Other Income/(Expense)","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a19Dm000001Iw1PIAS","false","false","false","true","","60.0","Other Income/(Expense)","42616147773138056","Financial","false","None","false","","","","Standard","false","","false",""
"a16Dm000000MOgxIAG","","Net Cash After Operations","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a19Dm000001Iw1PIAS","false","true","false","true","","80.0","Net Cash After Operations","42301327772724534","Financial","false","None","false","","","","Standard","false","","false",""
"a16Dm000000MOgyIAG","","Total Cash Paid for Int. & Div.","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a19Dm000001Iw1PIAS","false","false","false","true","","90.0","Cash Paid for Int. & Div.","42863817045140709","Financial","false","None","false","","","","Standard","false","","false",""
