"Id","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","ConnectionReceivedId","ConnectionSentId","LLC_BI__Classification__c","LLC_BI__Spread_Statement_Total_Group__c","LLC_BI__lookupKey__c"
"a3gDm000000g1V5IAI","","a5yDm00000008aX","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000GuCVMA0","a16Dm000000MOjSIAW","42870817600513588"
"a3gDm000000g1V6IAI","","Total Minority Interest","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000GuCWMA0","a16Dm000000MOjrIAG","42619829914422793"
"a3gDm000000g1V7IAI","","a5yDm00000008aY","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000GuCXMA0","a16Dm000000MOjtIAG","42663480721395381"
"a3gDm000000g1V8IAI","","a5yDm00000008aZ","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000GuCYMA0","a16Dm000000MOjsIAG","42316147360406840"
"a3gDm000000g1V9IAI","","a5yDm00000008aa","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000GuCZMA0","a16Dm000000MOjuIAG","42026472917041212"
"a3gDm000000g1VAIAY","","a3kDm000000oXg8","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000Gu7OMAS","a16Dm000000MOjTIAW","42591590218631936"
"a3gDm000000g1VBIAY","","Total Cash and Equivalents","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000GuCaMAK","a16Dm000000MOjUIAW","42530099055084262"
"a3gDm000000g1VCIAY","","Net Trade Receivables","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000GuCbMAK","a16Dm000000MOjVIAW","42379901397426594"
"a3gDm000000g1VDIAY","","Total Inventory","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000GuCcMAK","a16Dm000000MOjWIAW","42686842276621052"
"a3gDm000000g1VEIAY","","Total Other Current Assets","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000GuCdMAK","a16Dm000000MOjXIAW","42233723025059450"
"a3gDm000000g1VFIAY","","a3gDm000000g1Yp","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000GuCeMAK","a16Dm000000MOjYIAW","42264276418190895"
"a3gDm000000g1VGIAY","","Gross Fixed Assets","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000GuCfMAK","a16Dm000000MOjZIAW","42537104408267178"
"a3gDm000000g1VHIAY","","Net Fixed Assets","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000GuCgMAK","a16Dm000000MOjaIAG","42374124980983922"
"a3gDm000000g1VIIAY","","Total Other Non Current Assets","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000GuChMAK","a16Dm000000MOjcIAG","42950436746421798"
"a3gDm000000g1VJIAY","","Total Gross Intangibles","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000GuCiMAK","a16Dm000000MOjdIAG","42371294129756571"
"a3gDm000000g1VKIAY","","Net Intangible Assets","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000GuCjMAK","a16Dm000000MOjeIAG","42660731543685265"
"a3gDm000000g1VLIAY","","a3gDm000000g1cy","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000GuCkMAK","a16Dm000000MOjbIAG","42113123491638601"
"a3gDm000000g1VMIAY","","a5yDm00000008ab","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000GuClMAK","a16Dm000000MOjfIAG","42403514941770922"
"a3gDm000000g1VNIAY","","Total Short Term Notes","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000GuCmMAK","a16Dm000000MOjgIAG","42516541379622842"
"a3gDm000000g1VOIAY","","Total Accounts Payable","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000GuCnMAK","a16Dm000000MOjhIAG","42357522554816308"
"a3gDm000000g1VPIAY","","Total Other Current Liabilities","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000GuCoMAK","a16Dm000000MOjiIAG","42825659414067041"
"a3gDm000000g1VQIAY","","a3gDm000000g1cz","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000GuCpMAK","a16Dm000000MOjjIAG","42276830144399882"
"a3gDm000000g1VRIAY","","a5yDm00000008ac","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000GuCqMAK","a16Dm000000MOjkIAG","42646584922775369"
"a3gDm000000g1VSIAY","","a5yDm00000008ad","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a3YDm000000GuCrMAK","a16Dm000000MOjlIAG","42706835949321674"
