"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","ConnectionReceivedId","ConnectionSentId","nFORCE__Condition__c","nFORCE__Conditional_Question__c","nFORCE__Option__c","nFORCE__Question__c","nFORCE__lookupKey__c"
"a2yDm000000oRpYIAU","005Dm000000nnayIAA","","OR-000127","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","equal to","a30Dm000000XmxpIAC","a2zDm000000TYaUIAW","a30Dm000000XmxUIAS","a2yDm000000oRqaIAE"
"a2yDm000000oRpZIAU","005Dm000000nnayIAA","","OR-000128","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","equal to","a30Dm000000XmxWIAS","a2zDm000000TYZtIAO","a30Dm000000XmxVIAS","a2yDm000000oRqbIAE"
"a2yDm000000oRpaIAE","005Dm000000nnayIAA","","OR-000129","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","equal to","a30Dm000000XmxpIAC","a2zDm000000TYaVIAW","a30Dm000000XmxVIAS","a2yDm000000oRqcIAE"
"a2yDm000000oRpbIAE","005Dm000000nnayIAA","","OR-000130","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","equal to","a30Dm000000XmxpIAC","a2zDm000000TYaWIAW","a30Dm000000XmxWIAS","a2yDm000000oRqdIAE"
"a2yDm000000oRpcIAE","005Dm000000nnayIAA","","OR-000131","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","equal to","a30Dm000000XmxPIAS","a2zDm000000TYZZIA4","a30Dm000000XmxHIAS","a2yDm000000oRqeIAE"
"a2yDm000000oRpdIAE","005Dm000000nnayIAA","","OR-000132","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","equal to","a30Dm000000XmxPIAS","a2zDm000000TYa7IAG","a30Dm000000XmxJIAS","a2yDm000000oRqfIAE"
"a2yDm000000oRpeIAE","005Dm000000nnayIAA","","OR-000133","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","equal to","a30Dm000000XmxPIAS","a2zDm000000TYa8IAG","a30Dm000000XmxKIAS","a2yDm000000oRqgIAE"
"a2yDm000000oRpfIAE","005Dm000000nnayIAA","","OR-000134","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","equal to","a30Dm000000XmxnIAC","a2zDm000000TYZdIAO","a30Dm000000XmxKIAS","a2yDm000000oRqhIAE"
"a2yDm000000oRpgIAE","005Dm000000nnayIAA","","OR-000135","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","equal to","a30Dm000000XmxQIAS","a2zDm000000TYZfIAO","a30Dm000000XmxMIAS","a2yDm000000oRqiIAE"
"a2yDm000000oRphIAE","005Dm000000nnayIAA","","OR-000136","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","equal to","a30Dm000000XmxQIAS","a2zDm000000TYZkIAO","a30Dm000000XmxMIAS","a2yDm000000oRqjIAE"
"a2yDm000000oRpiIAE","005Dm000000nnayIAA","","OR-000137","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","equal to","a30Dm000000XmxRIAS","a2zDm000000TYZmIAO","a30Dm000000XmxQIAS","a2yDm000000oRqkIAE"
"a2yDm000000oRpjIAE","005Dm000000nnayIAA","","OR-000138","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","equal to","a30Dm000000XmxRIAS","a2zDm000000TYa5IAG","a30Dm000000XmxQIAS","a2yDm000000oRqlIAE"
"a2yDm000000oRpkIAE","005Dm000000nnayIAA","","OR-000144","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","equal to","a30Dm000000XmxvIAC","a2zDm000000TYadIAG","a30Dm000000XmxFIAS","798087243795497386"
"a2yDm000000oRplIAE","005Dm000000nnayIAA","","OR-000143","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","equal to","a30Dm000000XmxXIAS","a2zDm000000TYZuIAO","a30Dm000000XmxWIAS","a2yDm000000oRqmIAE"
"a2yDm000000oRpmIAE","005Dm000000nnayIAA","","OR-000145","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","equal to","a30Dm000000XmxrIAC","a2zDm000000TYadIAG","a30Dm000000XmxFIAS","696948244045324971"
