"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastViewedDate","LastReferencedDate","ConnectionReceivedId","ConnectionSentId","LLC_BI__Category__c","LLC_BI__Key__c","LLC_BI__Value__c","LLC_BI__fieldValue__c","LLC_BI__lookupKey__c","LLC_BI__Description__c"
"a0EDm000000dJlyMAE","005Dm000000nnayIAA","","CFG-CV00014475","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","Change Product","Allowed_Status","","Open","Allowed_Status",""
"a0EDm000000dJlzMAE","005Dm000000nnayIAA","","CFG-CV00014476","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","Credit Action","Fields_To_Not_Clone","","Fields_To_Not_Clone_Renewal","42013176837116171","This value controls which fields should not clone when you do a renewal or modification. The value should be the field set which includes the fields you do not want cloned. "
"a0EDm000000dJm0MAE","005Dm000000nnayIAA","","CFG-CV00014477","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","Credit Action","Credit_Action_Starting_Status","","Open","42807171020083101","This specifies what the status a renewed or modified loan is placed in. "
"a0EDm000000dJm1MAE","005Dm000000nnayIAA","","CFG-CV00014478","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","Credit Action","Credit_Action_Starting_Stage","","Qualification","42958440805630604","This specifies what the stage a renewed or modified loan is placed in. "
"a0EDm000000dJm2MAE","005Dm000000nnayIAA","","CFG-CV00014479","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","Credit Action","Sync_Relatives_to_Clone","","LLC_BI__Loan_Collateral2__c,LLC_BI__Legal_Entities__c,LLC_BI__Loan_Covenant__c,LLC_BI__Adverse_Action__c,nFORCE__Answer__c,LLC_BI__Credit_Memo_Modifcation__c,LLC_BI__Lien__c,LLC_BI__LLC_LoanDocument__c,LLC_BI__Policy_Exception__c,LLC_BI__Service_Mgmt__c,LLC_BI__Spread__c","42941812476047246","This specifies what related lists should clone immediately when you renew or modify the loan. "
"a0EDm000000dJm3MAE","005Dm000000nnayIAA","","CFG-CV00014480","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","Credit Action","Async_Relatives_to_Clone","","","42461684205626858","This specifies what related lists should clone asynchronously when you renew or modify the loan. "
"a0EDm000000dJm4MAE","005Dm000000nnayIAA","","CFG-CV00014481","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","Credit Action","Clone_Budget","","FALSE","42452837413171255","You should specify true in the value field to specify the Budget should clone. It always performs asynchronously.  "
"a0EDm000000dJm5MAE","005Dm000000nnayIAA","","CFG-CV00014482","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","Credit Action","Clone_Rate_and_Payment_Structures","","FALSE","42390322604356729","You should specify true in the value field to specify the Rate and Payment Structure should clone. It always performs asynchronously. "
"a0EDm000000dJm6MAE","005Dm000000nnayIAA","","CFG-CV00014483","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","Credit Action","Clone_Credit_Memo","","FALSE","42439628166151715"," You should specify true in the value field to specify the Credit Memo should clone. It always performs asynchronously. "
"a0EDm000000dJm7MAE","005Dm000000nnayIAA","","CFG-CV00014484","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","Credit Action","Stages_Renewal_Allowed","","Booked","42367445419086240","This Configuration will specify what stage a loan must be in before a specific credit action can be performed on it"
"a0EDm000000dJm8MAE","005Dm000000nnayIAA","","CFG-CV00014485","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","Credit Action","Status_Renewal_Allowed","","Open","42047431713720027","This Configuration will specify what status a loan must be in before a specific credit action can be performed on it"
"a0EDm000000dJm9MAE","005Dm000000nnayIAA","","CFG-CV00014489","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","Credit Action","Sync_Relatives_to_Clone","","LLC_BI__Loan_Collateral2__c,LLC_BI__Legal_Entities__c,LLC_BI__Loan_Covenant__c,LLC_BI__Adverse_Action__c,nFORCE__Answer__c,LLC_BI__Credit_Memo_Modifcation__c,LLC_BI__Lien__c,LLC_BI__LLC_LoanDocument__c,LLC_BI__Policy_Exception__c,LLC_BI__Service_Mgmt__c,LLC_BI__Spread__c","42813871210569191",""
"a0EDm000000dJmAMAU","005Dm000000nnayIAA","","CFG-CV00014486","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","Credit Action","Name_Format","","_R","42042792201932624","The value appended to the loan number for loans in process of renewal or modification. To update this appendage, update the fieldValue. The Product Type cannot override the value."
"a0EDm000000dJmBMAU","005Dm000000nnayIAA","","CFG-CV00014487","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","Credit Action","Name_Format","","_M","42384509260746486","The value appended to the loan number for loans in process of renewal or modification. To update this appendage, update the fieldValue. The Product Type cannot override the value."
"a0EDm000000dJmCMAU","005Dm000000nnayIAA","","CFG-CV00014488","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","Credit Action","Fields_To_Not_Clone","","Fields_To_Not_Clone_Modification","42205899172674511",""
