"Id","IsDeleted","Name","SetupOwnerId","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","nFORCE__Category_Name__c","nFORCE__Is_Active__c","nFORCE__Key__c","nFORCE__Value__c","nFORCE__Description__c","nFUSE__Is_Encrypted__c","nFUSE__Value_Data_Type__c","nFORCE__Institution_ID__c"
"a1TDm0000004j93MAA","","141A5D71_6B30_4922_BD52_672D390E1368","","2023-02-24T16:04:45.000Z","005Dm000001PCRDIA4","2023-02-24T16:04:45.000Z","005Dm000001PCRDIA4","","CUSTOMER_PORTAL","true","OA Credit Pull Timeout","60","This system property contains the timeout interval, in seconds, for credit integrations when they initiate from an online application. On installation, the system selects the Is Active checkbox and the value is set to 60.","false","",""
"a1TDm0000004j94MAA","","5B367321_6B3A_4372_A00C_1657363D7B18","","2023-02-24T16:04:45.000Z","005Dm000001PCRDIA4","2023-02-24T16:04:45.000Z","005Dm000001PCRDIA4","","ID Scan","true","ID Scan XPKG Service","LLC_BI.IdScanXPkg","This system property contains the fully qualified name of the cross package service nPORTAL uses to communicate with the ID Scan Integration. On installation, the system sets Is Active to true and the value to the name of the cross package service.","false","",""
"a1TDm0000004j95MAA","","29324153_453B_483E_AD1C_0C18270B4953","","2023-02-24T16:04:45.000Z","005Dm000001PCRDIA4","2023-02-24T16:04:45.000Z","005Dm000001PCRDIA4","","CUSTOMER_PORTAL","true","Credit XPKG Service","nRETAIL.CreditXPkg","This system property contains the fully qualified name of the cross package service nPORTAL uses to process credit reports, debts, and incomes. On installation, the system sets Is Active to true and the value to the name of the cross package service.","false","",""
"a1TDm0000004j96MAA","","5D116529_7D1A_4970_8314_1B40256F2165","","2023-02-24T16:04:45.000Z","005Dm000001PCRDIA4","2023-02-24T16:04:45.000Z","005Dm000001PCRDIA4","","CUSTOMER_PORTAL","true","OA No Offers Loan Stage","","This system property contains the loan stage value for online applications that are not eligible for Offers. If there is no value, then the loan stage does not change from the default value.","false","",""
"a1TDm0000004j97MAA","","3B685C13_0C6B_4802_9920_3C7C117D5C04","","2023-02-24T16:04:45.000Z","005Dm000001PCRDIA4","2023-02-24T16:04:45.000Z","005Dm000001PCRDIA4","","CUSTOMER_PORTAL","true","Offers Generator XPKG Service","nRETAIL.OffersGenerationXPkg","This system property contains the fully qualified name of the cross package service nPORTAL uses to generate offers. On installation, the system sets Is Active to true and the value to the name of the cross package service.","false","",""
"a1TDm0000004j98MAA","","74430022_334E_424B_A53C_4115293A762A","","2023-02-24T16:04:45.000Z","005Dm000001PCRDIA4","2023-02-24T16:04:45.000Z","005Dm000001PCRDIA4","","CUSTOMER_PORTAL","false","To-Do List Excluded Statuses","Withdrawn|Offers Expired|Offers Declined","This system property excludes applications with certain statuses from the To-Do List on the Customer Portal Dashboard. On installation, the system sets Is Active to false and the value is set to Withdrawn and Offers Expired in a pipe delimited list.","false","",""
"a1TDm0000004j99MAA","","0136212C_277A_430C_B467_6F46061E326F","","2023-02-24T16:04:45.000Z","005Dm000001PCRDIA4","2023-02-24T16:04:45.000Z","005Dm000001PCRDIA4","","CUSTOMER_PORTAL","true","Application Statuses Eligible for Offers","","Administrators populate this setting with statuses of Auto Decision for which they want the offers generation process to be run in Online Applications.","false","",""
"a1TDm0000004j9AMAQ","","33072A72_5917_4F4E_8A18_615F56327E1A","","2023-02-24T16:04:45.000Z","005Dm000001PCRDIA4","2023-02-24T16:04:45.000Z","005Dm000001PCRDIA4","","CUSTOMER_PORTAL","true","OA No Offers Loan Status","","This system property contains the loan status value for online applications that are not eligible for Offers. If there is no value, then the loan status does not change from the default value.","false","",""
"a1TDm0000004j9BMAQ","","4745265B_4C6B_4A07_9867_5D76546D3338","","2023-02-24T16:04:45.000Z","005Dm000001PCRDIA4","2023-02-24T16:04:45.000Z","005Dm000001PCRDIA4","","CUSTOMER_PORTAL","false","Offer Accepted Loan Status","","This system property contains the value that is set when offers are accepted in an online application. If there is no value, then the loan status does not change from the default value.","false","",""
"a1TDm0000004j9CMAQ","","60164617_6A26_4554_B321_5733207C7804","","2023-02-24T16:04:45.000Z","005Dm000001PCRDIA4","2023-02-24T16:04:45.000Z","005Dm000001PCRDIA4","","CUSTOMER_PORTAL","false","Offer Accepted Loan Stage","","This system property contains the value that is set when offers are accepted in an online application. If there is no value, then the loan stage does not change from the default value.","false","",""
"a1TDm0000004j9DMAQ","","59731B03_1D78_4469_B831_7B144E475762","","2023-02-24T16:04:45.000Z","005Dm000001PCRDIA4","2023-02-24T16:04:45.000Z","005Dm000001PCRDIA4","","CUSTOMER_PORTAL","false","OA Offers Expand Enabled","OA Offers Expand Enabled","This system property determines if the Offers card expands by default when a Portal user loads the page. On installation, the system deselects the Is Active checkbox. To activate, select the Is Active checkbox.","false","",""
"a1TDm0000004j9EMAQ","","3C576056_7074_4066_8E23_28681617680D","","2023-02-24T16:04:45.000Z","005Dm000001PCRDIA4","2023-02-24T16:04:45.000Z","005Dm000001PCRDIA4","","CUSTOMER_PORTAL","true","OA Offers Default Sort","LLC_BI__Monthly_Payment__c","This system property contains the API name of the default sort order field for Offers. On installation, the system selects the Is Active checkbox and the value is set to LLC_BI__Monthly_Payment__c.","false","",""
"a1TDm0000004j9FMAQ","","5A0C5C64_6629_4647_BD7D_326B007F0422","","2023-02-24T16:04:45.000Z","005Dm000001PCRDIA4","2023-02-24T16:04:45.000Z","005Dm000001PCRDIA4","","CUSTOMER_PORTAL","false","OA Offers Decline Loan Status","","This system property contains the loan status value for Offers in Online Application. If there is no value, then the loan status does not change from the default value.","false","",""
"a1TDm0000004j9GMAQ","","382B6B62_5900_494F_8543_2227282C0D1C","","2023-02-24T16:04:45.000Z","005Dm000001PCRDIA4","2023-02-24T16:04:45.000Z","005Dm000001PCRDIA4","","CUSTOMER_PORTAL","false","OA Offers Decline Loan Stage","","This system property contains the loan stage value for Offers in Online Application. If there is no value, then the loan stage does not change from the default value.","false","",""
"a1TDm0000004j9HMAQ","","251E2E5B_2B23_4D62_8876_553E613C4063","","2023-02-24T16:04:45.000Z","005Dm000001PCRDIA4","2023-02-24T16:04:45.000Z","005Dm000001PCRDIA4","","ID Scan","false","ID Scan Upload Timeout","0","The system property sets a timeout, in seconds, for the ID Scan upload request to avoid long request times. On installation, the Is Active is deselected and the value is set to 0, corresponding to no timeout.","false","",""
