"Id","IsDeleted","Name","SetupOwnerId","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LLC_BI__Category_Name__c","LLC_BI__Is_Active__c","LLC_BI__Key__c","LLC_BI__Value__c","LLC_BI__Description__c"
"a1DDm000000kUpKMAU","","42020381590333397","","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","MEMO_APPROVAL_REQUIRED","false","LLC_BI__Seller_Note_Change__c","NONE",""
"a1DDm000000kUpLMAU","","42519714950226677","","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","MEMO_APPROVAL_NOT_REQUIRED","false","LLC_BI__Use_of_Proceeds_Change__c","NONE",""
"a1DDm000000kUpMMAU","","42447101522874025","","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","MEMO_APPROVAL_NOT_REQUIRED","true","LLC_BI__Guarantor_Added__c","NONE",""
"a1DDm000000kUpNMAU","","42746271084473731","","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","DocuSign Communicator","true","DocuSign Account Id","<User Defined>",""
"a1DDm000000kUpOMAU","","42349553207793105","","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","DocuSign Communicator","true","DocuSign Integration Key","<User Defined>",""
"a1DDm000000kUpPMAU","","42695437715616113","","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","DocuSign Communicator","true","HTTP.Header.Content-Type","application/json",""
"a1DDm000000kUpQMAU","","42206704279962448","","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","DocuSign Communicator","true","DocuSign Username","<User Defined>",""
"a1DDm000000kUpRMAU","","42083670357895188","","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","DocuSign Communicator","true","DocuSign Password","<User Defined>",""
"a1DDm000000kUpSMAU","","42007944159400148","","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","DocuSign Communicator","true","HTTP.TimeOut","120000",""
"a1DDm000000kUpTMAU","","42078704544445050","","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","DocuSign Communicator","true","HTTP.Header.Accept","application/json",""
"a1DDm000000kUpUMAU","","42037027129988295","","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","PRODUCT_PACKAGE","true","PendingPackageEditFields","LLC_BI__Status__c,LLC_BI__Stage__c,LLC_BI__Is_Review_Ready__c",""
"a1DDm000000kUpVMAU","","42150864331634334","","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","underwriting","true","credit_memo_force_layout_upgraded","true",""
"a1DDm000000kUpWMAU","","42851661248279719","","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","underwriting","true","credit_memo_force_view_upgraded","true",""
"a1DDm000000kUpXMAU","","42908924867257998","","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","underwriting","true","credit_memo_force_widget_upgraded","true",""
"a1DDm000000kUpYMAU","","42199694243566500","","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","underwriting","true","ko-app-columns-installed","true",""
"a1DDm000000kUpZMAU","","42852090856155206","","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","underwriting","true","credit_memo_force_screen_upgraded","true",""
